ADM3_FR,ADM2_FR,ADM1_FR,shape_Leng,Shape_Area,ADM0_PCODE,Country,Latitude,Longitude,Population,Area,Total_bran,Total_ATMs,Total_geoc
Banikoara,Alibori,Benin,2.819945963990000,0.363250517061000,BJ,benin,11.376058000000000,2.384563000000000,"246575",438300.000,1.000000000000000,0.000000000000000,"0"
Gogounou,Alibori,Benin,3.265206477300000,0.413859229132000,BJ,benin,10.793519000000000,2.544520000000000,"117523",491000.000,0.000000000000000,0.000000000000000,
Kandi,Alibori,Benin,2.748826740220000,0.289073108710000,BJ,benin,11.196880000000000,3.049454000000000,"179290",342100.000,1.000000000000000,0.000000000000000,"0"
Karimama,Alibori,Benin,4.125294553340000,0.504487992599000,BJ,benin,11.961565999999999,2.745570000000000,"66353",610200.000,0.000000000000000,0.000000000000000,
Malanville,Alibori,Benin,2.342529027390000,0.270560875765000,BJ,benin,11.652144000000000,3.299014000000000,"168641",301600.000,2.000000000000000,0.000000000000000,"0"
Segbana,Alibori,Benin,2.939082435200000,0.386814030738000,BJ,benin,10.897971999999999,3.494375000000000,"89081",447100.000,0.000000000000000,0.000000000000000,
Kerou,Atakora,Benin,3.011458442030000,0.321166385880000,BJ,benin,11.024564000000000,1.995843000000000,"100197",374500.000,0.000000000000000,1.000000000000000,
Kobli,Atakora,Benin,1.090331445370000,0.068770725510600,BJ,benin,10.477593000000001,0.901916000000000,"67603",82500.000,0.000000000000000,0.000000000000000,
Kouande,Atakora,Benin,3.270520963950000,0.268321153944000,BJ,benin,10.420190000000000,1.773593000000000,"111540",325000.000,0.000000000000000,0.000000000000000,
Materi,Atakora,Benin,1.711731617110000,0.145801148079000,BJ,benin,10.772800000000000,1.048139000000000,"113958",174000.000,0.000000000000000,0.000000000000000,
Natitingou,Atakora,Benin,1.703956257010000,0.111919461255000,BJ,benin,10.263754000000000,1.404073000000000,"103843",140000.000,2.000000000000000,0.000000000000000,"0"
Pehunco,Atakora,Benin,1.849120521700000,0.166115248943000,BJ,benin,10.259684999999999,2.040639000000000,"78217",190000.000,0.000000000000000,0.000000000000000,
Tanguieta,Atakora,Benin,4.155057197900000,0.460706518237000,BJ,benin,11.070684999999999,1.449173000000000,"74675",546500.000,1.000000000000000,0.000000000000000,"0"
Allada,Atlantique,Benin,0.806588402689000,0.031288007822600,BJ,benin,6.680492000000000,2.150409000000000,"127512",38100.000,0.000000000000000,0.000000000000000,
Kpomasse,Atlantique,Benin,0.727602987684000,0.023872354434200,BJ,benin,6.410084000000000,2.018252000000000,"67648",30500.000,0.000000000000000,0.000000000000000,
Ouidah,Atlantique,Benin,1.470299541900000,0.024459673328200,BJ,benin,6.396417000000000,2.139979000000000,"162034",36400.000,0.000000000000000,0.000000000000000,
Toffo,Atlantique,Benin,0.970941584946000,0.039826348916900,BJ,benin,6.849891000000000,2.164174000000000,"101585",51500.000,0.000000000000000,0.000000000000000,
Ze,Atlantique,Benin,1.280728613420000,0.051330664137200,BJ,benin,6.760942000000000,2.358887000000000,"106913",54300.000,0.000000000000000,0.000000000000000,
Bembereke,Borgou,Benin,2.538362811080000,0.275257927776000,BJ,benin,10.341233000000001,2.765240000000000,"131255",334800.000,1.000000000000000,0.000000000000000,"0"
Kalale,Borgou,Benin,2.884458276890000,0.310795961666000,BJ,benin,10.379640999999999,3.390659000000000,"168882",358600.000,0.000000000000000,0.000000000000000,
Nikki,Borgou,Benin,2.854485384980000,0.269156722553000,BJ,benin,9.964383000000000,3.268067000000000,"151232",317100.000,0.000000000000000,0.000000000000000,
Parakou,Borgou,Benin,0.891604519312000,0.038995900815700,BJ,benin,9.340783999999999,2.600094000000000,"255478",44100.000,9.000000000000000,4.000000000000000,"1"
Perere,Borgou,Benin,1.695895709580000,0.169976660167000,BJ,benin,9.631351000000000,3.002150000000000,"78988",201700.000,0.000000000000000,0.000000000000000,
Sinende,Borgou,Benin,2.323493454090000,0.185639894736000,BJ,benin,10.402393999999999,2.371889000000000,"91672",228900.000,0.000000000000000,0.000000000000000,
Tchaourou,Borgou,Benin,4.713597468910000,0.557015522151000,BJ,benin,9.069818000000000,2.355458000000000,"223138",725600.000,6.000000000000000,0.000000000000000,"6"
Bante,Collines,Benin,1.921186580290000,0.217688946580000,BJ,benin,8.330299000000000,1.868513000000000,"107181",269500.000,0.000000000000000,0.000000000000000,
Glazoue,Collines,Benin,1.755138981390000,0.144451029157000,BJ,benin,8.165946999999999,2.227116000000000,"124431",135000.000,1.000000000000000,0.000000000000000,"0"
Ouesse,Collines,Benin,2.264418880540000,0.244421156528000,BJ,benin,8.548439999999999,2.514205000000000,"142017",320000.000,0.000000000000000,0.000000000000000,
Savalou,Collines,Benin,2.343416514680000,0.218384617228000,BJ,benin,7.857368000000000,1.858771000000000,"144549",267400.000,1.000000000000000,0.000000000000000,"0"
Save,Collines,Benin,1.980848631660000,0.186106988661000,BJ,benin,7.951918000000000,2.538410000000000,"87177",222800.000,1.000000000000000,0.000000000000000,"0"
Aplahoue,Couffo,Benin,1.547441235500000,0.074431600754700,BJ,benin,7.196686000000000,1.730492000000000,"171109",90000.000,1.000000000000000,0.000000000000000,"0"
Klouekanme,Couffo,Benin,0.764574972157000,0.031233367977200,BJ,benin,7.029428000000000,1.826485000000000,"128597",35000.000,0.000000000000000,0.000000000000000,
Lalo,Couffo,Benin,0.937070248662000,0.037240681068100,BJ,benin,6.866070000000000,1.967489000000000,"119926",43200.000,0.000000000000000,0.000000000000000,
Toviklin,Couffo,Benin,0.432895001951000,0.010575945263900,BJ,benin,6.896675000000000,1.821577000000000,"88611",12000.000,0.000000000000000,0.000000000000000,
Bassila,Donga,Benin,3.504970838810000,0.463005089299000,BJ,benin,8.963908999999999,1.820487000000000,"130091",566100.000,0.000000000000000,0.000000000000000,
Djougou,Donga,Benin,2.729037313360000,0.323172454987000,BJ,benin,9.653885000000001,1.871643000000000,"267812",396600.000,1.000000000000000,0.000000000000000,"0"
Ouake,Donga,Benin,1.148228780630000,0.053511205575600,BJ,benin,9.549932999999999,1.445756000000000,"74289",66300.000,0.000000000000000,0.000000000000000,
Cotonou,Littoral,Benin,0.505867123227000,0.004659603349730,BJ,benin,6.370873000000000,2.402051000000000,"679012",7900.000,120.000000000000000,24.000000000000000,"32"
Athieme,Mono,Benin,0.783893357743000,0.017706638218500,BJ,benin,6.544535000000000,1.739557000000000,"56483",22000.000,0.000000000000000,0.000000000000000,
Bopa,Mono,Benin,0.816430088057000,0.030516859031700,BJ,benin,6.677554000000000,1.932485000000000,"96281",36500.000,0.000000000000000,0.000000000000000,
Come,Mono,Benin,0.542186300092000,0.014085567188800,BJ,benin,6.402808000000000,1.902755000000000,"79989",16300.000,1.000000000000000,0.000000000000000,"0"
Houeyogbe,Mono,Benin,0.666502134977000,0.024879837883000,BJ,benin,6.527294000000000,1.870595000000000,"101893",29000.000,0.000000000000000,0.000000000000000,
Lokossa,Mono,Benin,0.828851240936000,0.022107778272900,BJ,benin,6.663743000000000,1.752046000000000,"104961",26000.000,4.000000000000000,0.000000000000000,"0"
Adjohoun,Oueme,Benin,0.660417143896000,0.026278573010900,BJ,benin,6.694075000000000,2.516331000000000,"75323",30800.000,0.000000000000000,0.000000000000000,
Avrankou,Oueme,Benin,0.371539589550000,0.006294465191910,BJ,benin,6.562751000000000,2.662930000000000,"128050",6000.000,0.000000000000000,0.000000000000000,
Bonou,Oueme,Benin,0.664466957345000,0.020631774306800,BJ,benin,6.834390000000000,2.496516000000000,"44349",30000.000,0.000000000000000,0.000000000000000,
Dangbo,Oueme,Benin,0.512324251224000,0.012861293502300,BJ,benin,6.560009000000000,2.507968000000000,"96426",15000.000,0.000000000000000,0.000000000000000,
Ifangni,Plateau,Benin,0.644543235863000,0.017701849045600,BJ,benin,6.674785000000000,2.717218000000000,"110973",15000.000,0.000000000000000,0.000000000000000,
Ketou,Plateau,Benin,1.635096930670000,0.147189588151000,BJ,benin,7.436844000000000,2.590650000000000,"157352",175000.000,0.000000000000000,0.000000000000000,
Pobe,Plateau,Benin,0.854805910130000,0.034929176332600,BJ,benin,7.068400000000000,2.683835000000000,"123677",40000.000,0.000000000000000,0.000000000000000,
Sakete,Plateau,Benin,0.982326787152000,0.034766501836200,BJ,benin,6.769619000000000,2.665644000000000,"114088",43200.000,0.000000000000000,0.000000000000000,
Abomey,Zou,Benin,0.499354097393000,0.012309482883000,BJ,benin,7.176212000000000,1.986906000000000,"92266",14200.000,2.000000000000000,0.000000000000000,"0"
Agbangnizoun,Zou,Benin,0.623063308928000,0.018593716471800,BJ,benin,7.072514000000000,1.964794000000000,"72549",24400.000,0.000000000000000,0.000000000000000,
Bohicon,Zou,Benin,0.571711343217000,0.013190006912000,BJ,benin,7.159277000000000,2.097404000000000,"171781",15000.000,6.000000000000000,3.000000000000000,"1"
Cove,Zou,Benin,1.213762453650000,0.035617000897500,BJ,benin,7.345217000000000,2.283632000000000,"51247",52500.000,0.000000000000000,0.000000000000000,
Djidja,Zou,Benin,2.037162053310000,0.179206951863000,BJ,benin,7.401021000000000,1.920440000000000,"123542",218400.000,0.000000000000000,0.000000000000000,
Ouinhi,Zou,Benin,0.757804115550000,0.028241594782900,BJ,benin,7.096171000000000,2.483603000000000,"59381",30000.000,0.000000000000000,0.000000000000000,
Zogbodomey,Zou,Benin,1.150443985400000,0.068072530460600,BJ,benin,7.020846000000000,2.176887000000000,"92935",70000.000,0.000000000000000,1.000000000000000,
Aguegues,Oueme,Benin,0.535140791812000,0.006286308587200,BJ,benin,6.485689000000000,2.553647000000000,"44562",5200.000,0.000000000000000,0.000000000000000,
Boukoumbe,Atakora,Benin,1.533424047360000,0.081126641261100,BJ,benin,10.308488000000001,1.089171000000000,"82450",103600.000,0.000000000000000,0.000000000000000,
Toukountouna,Atakora,Benin,1.393059691210000,0.088920478320700,BJ,benin,10.553322000000000,1.512437000000000,"39779",100000.000,0.000000000000000,0.000000000000000,
Abomey-calavi,Atlantique,Benin,1.102656095970000,0.041687749460000,BJ,benin,6.466772000000000,2.303700000000000,"656358",65000.000,14.000000000000000,2.000000000000000,"5"
So-ava,Atlantique,Benin,0.746558214087000,0.006363656547020,BJ,benin,6.544601000000000,2.430234000000000,"118547",21800.000,1.000000000000000,0.000000000000000,"0"
Tori-bossito,Atlantique,Benin,0.676363209210000,0.026788164727700,BJ,benin,6.537890000000000,2.170941000000000,"57632",26300.000,0.000000000000000,0.000000000000000,
Ndali,Borgou,Benin,2.520138176480000,0.303167544670000,BJ,benin,9.727135000000001,2.505578000000000,"113604",374800.000,0.000000000000000,0.000000000000000,
Dassa,Collines,Benin,1.641265781850000,0.138734285119000,BJ,burkina,12.445569000000001,-2.707271000000000,"132533",195560.000,0.000000000000000,0.000000000000000,
Djakotome,Couffo,Benin,0.663600476460000,0.018525795255500,BJ,benin,6.838926000000000,1.668931000000000,"134028",32500.000,0.000000000000000,0.000000000000000,
Dogbo-tota,Couffo,Benin,0.840331948531000,0.024469697606600,BJ,benin,6.785371000000000,1.774392000000000,"103057",30000.000,0.000000000000000,0.000000000000000,
Kopargo,Donga,Benin,1.343066399500000,0.072701774126100,BJ,benin,9.874959000000000,1.502424000000000,"70938",87600.000,0.000000000000000,0.000000000000000,
Grand-popo,Mono,Benin,1.837216269180000,0.019418208446000,BJ,benin,6.327868000000000,1.843066000000000,"57636",28900.000,3.000000000000000,0.000000000000000,"1"
Adjara,Oueme,Benin,0.333458624785000,0.005907744443890,BJ,benin,6.489249000000000,2.691335000000000,"97424",5000.000,0.000000000000000,0.000000000000000,
Akpro-misserete,Oueme,Benin,0.393542103007000,0.006561722948340,BJ,benin,6.591824000000000,2.611728000000000,"127249",7900.000,0.000000000000000,0.000000000000000,
Porto-novo,Oueme,Benin,0.270647933725000,0.004064534432450,BJ,benin,6.492648000000000,2.614270000000000,"264320",6000.000,13.000000000000000,3.000000000000000,"4"
Seme-kpodji,Oueme,Benin,0.736260648091000,0.015387628062500,BJ,benin,6.413975000000000,2.614472000000000,"222701",22000.000,11.000000000000000,0.000000000000000,"2"
Adja-ouere,Plateau,Benin,1.086981274870000,0.037021576113400,BJ,benin,6.929458000000000,2.588921000000000,"116282",53000.000,0.000000000000000,0.000000000000000,
Za-kpota,Zou,Benin,0.783818285332000,0.031817372424500,BJ,benin,7.256140000000000,2.180625000000000,"132818",60000.000,0.000000000000000,0.000000000000000,
Zangnanado,Zou,Benin,1.444528771320000,0.045727920842800,BJ,benin,7.277715000000000,2.397539000000000,"55061",40000.000,0.000000000000000,0.000000000000000,
Ambsouya,Oubritenga,Plateau-Central,0.922535014716000,0.025675603512500,BF,burkina,12.610704999999999,-1.017985000000000,"35237",30494.000,0.000000000000000,0.000000000000000,
Andemtenga,Kourittenga,Centre-Est,1.509284660160000,0.058804982904000,BF,burkina,12.374389000000001,-0.306818000000000,"69428",70004.000,0.000000000000000,0.000000000000000,
