Commune,Country,Distance Threshold,Area,Population_branch
Assoli 2,togo,0,24630.0,9933
Kloto 3,togo,0,10040.0,11433
Doufelgou 2,togo,0,21480.0,11722
Danyi 2,togo,0,24200.0,14420
Assoli 3,togo,0,20670.0,16044
Kloto 2,togo,0,15230.0,16166
Bassar 4,togo,0,46890.0,16657
Tchaoudjo 3,togo,0,47100.0,17484
Amou 1,togo,0,21570.0,19746
Tchaoudjo 4,togo,0,39190.0,20279
Wawa 2,togo,0,36810.0,20414
Kozah 4,togo,0,30880.0,20654
Mô 2,togo,0,38150.0,21926
Kozah 3,togo,0,26100.0,23755
Vo 2,togo,0,10960.0,24396
Tchaoudjo 2,togo,0,46990.0,24891
Danyi 1,togo,0,15420.0,25820
Agou 2,togo,0,50630.0,27465
Kpélé 2,togo,0,34830.0,27664
Sotouboua 3,togo,0,69160.0,27770
Doufelgou 3,togo,0,38810.0,28262
Zio 4,togo,0,37350.0,28704
Ogou 4,togo,0,42870.0,29048
Akébou 2,togo,0,62240.0,29634
Wawa 3,togo,0,45070.0,29699
Mô 1,togo,0,87440.0,30522
Dankpen 2,togo,0,49420.0,32716
Est-Mono 1,togo,0,45250.0,34652
Avé 2,togo,0,24130.0,36170
Bassar 2,togo,0,62080.0,36476
Lacs 4,togo,0,4832.0,37222
Bas-Mono 2,togo,0,16280.0,39478
Amou 2,togo,0,50570.0,40016
Kpendjal 2,togo,0,63100.0,40462
Lacs 2,togo,0,22420.0,42855
Yoto 2,togo,0,42260.0,43412
Moyen-Mono 2,togo,0,18970.0,43708
Haho 4,togo,0,60710.0,43965
Akébou 1,togo,0,50790.0,44196
Oti-Sud 2,togo,0,91030.0,44324
Blitta 3,togo,0,158900.0,45218
Vo 4,togo,0,22600.0,46499
Blitta 2,togo,0,81720.0,46515
Moyen-Mono 1,togo,0,40490.0,46797
Agoè-Nyivé 3,togo,0,404.0,47554
Kpendjal 1,togo,0,75380.0,47903
Tône 2,togo,0,20820.0,50179
Ogou 3,togo,0,45550.0,51836
Cinkassé 2,togo,0,19660.0,52967
Tchamba 3,togo,0,50230.0,53204
Kpélé 1,togo,0,58200.0,53275
Kéran 2,togo,0,75940.0,53305
